Dose,Response,Err-Values
1.30E-11,0.036221385,0.0289122
2.70E-11,-0.024952157,0.0163646
5.40E-11,0.002719578,0.0278495
1.10E-10,0.032299406,0.105856
2.20E-10,0.076714588,0.0328882
4.50E-10,-0.036434896,0.040873
9.20E-10,-0.057392583,0.0209743
0.000000002,0.044926709,0.0380443
4.60E-09,0.206560588,0.0506068
1.35E-08,0.345179745,0.0234761
0.0000004,0.929809878,0.0608999
0.000004295,0.97738705,0.0553045
0.000014542,1.007392052,0.139761
0.000025737,0.990745421,0.0654345
0.000037576,1.031815204,0.0693596
0.000050043,1.012806745,0.0750523